Type, Length, Width, e_L, e_W
C,     56,      47,      3,    3
C,	65,	43,	1,	1
C,	61,	45,	2,	1
C,	58,	44,	3,	1
C,	60,	41,	1,	2
C,	62,	42,	1,	2
C,	60,	45,	1,	1
C,	63,	44,	1,	1
C,	59,	42,	1,	1
C,	62,	43,	1,	2
C,	59,	46,	2,	3
C,	65,	  53,	   1,	  1
C,	61,	  50,	   1,	  1
C,	66,	  53.5	   1,	  2
C,	65,	  49,	   1,	  1
C,	64,	  50,	   1,     1
C,	64,	  53,      1,	  1
C,	64,	  54,	   1,	  1
C,	64,	  53,	   1,	  1
C,	65,	  53,	   1,	  1
C,	63,	  49,	   1,	  1
C,	61,	  50,	   1,	  1
C,	63,	  48,	   1,	  1
C,	60,	  53,	   1,	  1
C,	65,	  55, 	   1,	  1
C,	63,	  53,	   1,	  1
C,          61,            43,         0.2,         0.2
C,          59,            45,         0.2,         0.2
C,          60,            44,         0.2,         0.2
C,          62,            46,         0.2,         0.2
C,          59,            44,         0.2,         0.2
C,          61,            42,         0.2,         0.2
C,          59,            43,         0.2,         0.2
C,          60,            43,         0.2,         0.2
C,          59,            45,         0.2,         0.2
C,          61,            44,         0.2,         0.2
C,    60,     44,      1,    1
C,    59.5,   42,      1,    1
C,    61,     41.5,    1,    1
C,    61,     41,      1,    1
C,    58,     45,      1,    1
C,    60,     45,      1,    1
C,    63,     47.5,    1,    1
C,    69,     43,      1,    1
C,    61,     45,      1,    1
C,    52,     45,      1,    1
C,	660,	490,	1,	1
C,	640,	500,	1,	1
C,	640,	510,	1,	1
C,	630,	480,	1,	1
C,	630,	500,	1,	1
C,	620,	480,	1,	1
C,	620,	490,	1,	1
C,	600,	470,	1,	1
C,	600,	480,	1,	1
C,	590,	470,	1,	1
C,         65,         51,         3,        3
C,         64,         50,         3,        3
C,         64,         50,         3,        3
C,         59,         48,         3,        3
C,         59,         49,         3,        3
C,         66,         48,         3,        3
C,         64,         48,         3,        3
C,         60,         46,         3,        3
C,         63,         46,         3,        3
C,         59,         48,         3,        3
C,      64,       48,    1,    1  
C,      62.5,     43,    1,    1
C,      57.5,     44,    1,    1 
C,      58,       46,    1,    1
C,      59,       44,    1,    1
C,      51,       44.5,  1,    1
C,      59,       44,    1,    1
C,      59,       45,    1,    1
C,      58.5,     46.5,  1,    1
C,      59,       49,    1,    1
C,               57,           45,          1,       1
C,               62,           45,          1,       1
C,               60,           44,          1,       1
C,               59,           45,          1,       1
C,               59,           44,          1,       1
C,               58,           45,          1,       1
C,               63,           45,          1,       1
C,               60,           43,          1,       1
C,               61,           44,          1,       1
C,               59,           43,          1,       1
c   ,  60.5  ,  47.5 ,  0.5, 0.5
c   ,  61.5  ,  48.0 ,  0.5, 0.5
c   ,  62.5  ,  47.5 ,  0.5, 0.5
c   ,  65.0  ,  43.0 ,  0.5, 0.5
c   ,  63.0  ,  45.0 ,  0.5, 0.5
c   ,  67.5  ,  46.0 ,  0.5, 0.5
c   ,  64.0  ,  43.5 ,  0.5, 0.5
c   ,  62.0  ,  44.0 ,  0.5, 0.5
c   ,  60.0  ,  46.0 ,  0.5, 0.5
c   ,  65.5  ,  42.0 ,  0.5, 0.5
C,        60,      46,     1,    1,
C,        59,      45,     1,    1,
C,        61,      44,     1,    1,
C,        59,      42,     1,    1,
C,        61,      45,     1,    1,
C,        58,      43,     1,    1,
C,        60,      43,     1,    1,
C,        59,      45,     1,    1,
C,        58,      45,     1,    1,
C,        61,      43,     1,    1,
C,       61,    49,     0.5,     0.5
C,       58,    45,     0.5,     0.5
C,       54,    42,     0.5,     0.5
C,       53,    44,     0.5,     0.5
C,       61,    50,     0.5,     0.5
C,       53,    48,     0.5,     0.5
C,       56,    46,     0.5,     0.5
C,       58,    43,     0.5,     0.5
C,       60,    46,     0.5,     0.5
C,       53,    45,     0.5,     0.5
C,       60,        41,     1,        1
C,       58,        47,     1,        1
C,       62,        38,     1,        1
C,       56,        36,     1,        1
C,       61,        46,     1,        1
C,       63,        44,     1,        1
C,       63,        36,     1,        1
C,       61,        40,     1,        1
C,       69,        48,     1,        1
C,       60,        47,     1,        1
C,	56.0,	45.0,	1.0,	1.0
C, 	53.1, 	45.1, 	1.0, 	1.0
C, 	55.8, 	42.7, 	1.0, 	1.0
C, 	55.6, 	43.1, 	1.0, 	1.0
C, 	55.8, 	44.1, 	1.0, 	1.0
C, 	57.1, 	45.0, 	1.0, 	1.0
C, 	54.6, 	43.8, 	1.0, 	1.0
C, 	54.8, 	44.0, 	1.0, 	1.0
C, 	55.1, 	45.1, 	1.0, 	1.0
C, 	58.0, 	44.6, 	1.0, 	1.0
C,	57,	45,	1,	        1
C,	56,	45,	1.5,	        1.5
C,	59,	45,	1,	        2
C,	56,	43,	1,	        2
C,	55,	44,	1,	        1.5
C,	57,	44,	1.5,	        1.5
C,	61,	46,	1.5,	        1.5
C,	57,	44,	0.5,	        1
C,	58,	45,	1,	        1
C,      57,	44,	1,		1
C,               59.6,            48.0,             1,            1
C,               58.0,            43.6,             1,            1
C,               56.8,            45.6,             1,            1
C,               55.6,            42.4,             1,            1
C,               54.2,            41.4,             1,            1
C,               58.6,            44.6,             1,            1
C,               61.4,            45.2,             1,            1
C,               62.0,            42.0,             1,            1
C,               57.4,            45.4,             1,            1
C,               55.2,            45.8,             1,            1                                               
C,         59,        47,      1,      1
